"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad","Estado Resumen"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.6234505","241-2024","709543227","CO1.BDOS.6113114","SUMINISTROS","El contratista se obliga al suministro de los medicamentos  en las cantidades establecidas en el  anexo 1, el cual hace parte integral del contrato. Para la ESE Pasto Salud","Presentación de oferta","05/14/2024","05/14/2024",,,,,"05/14/2024","$13,832,900","Contratación régimen especial","Regla aplicable","46","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.51141702","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6121517","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.8372799","413-2025","709543227","CO1.BDOS.8224797","PRESTACION DE SERVICIOS","El contratista se compromete para con la Empresa Social del Estado PASTO SALUD E.S.E a prestar sus servicios como administrador en servicios de salud para el desarrollo de las actividades contempladas en el componente de Morbi mortalidad - Determinates Ambientales y procesos transversales de acuerdo con los contenidos de la Política Publica de Salud Colectiva   La Salud en Todos los Derechos fortaleciendo los entornos educativo, comunitario","Presentación de oferta","06/05/2025","06/05/2025",,,,,"06/05/2025","$12,000,000","Contratación régimen especial","Regla aplicable","178","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8245882","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.4670886","243-2023","709543227","CO1.BDOS.4567134","GENHOSPI SAS","El contratista se obliga al suministro de los medicamentos  en las cantidades establecidas en el  anexo 1, el cual hace parte integral del contrato. Para la ESE Pasto Salud.","Presentación de oferta","06/14/2023","06/14/2023",,,,,"06/14/2023","$4,573,600","Contratación régimen especial","Regla aplicable","86","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.51101511","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4573501","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.7023958","893-2024","709543227","CO1.BDOS.6893142","PRESTACION DE SERVICIOS","Contratar la prestación de servicios como GESTOR COMUNITARIO con el fin de llevar a cabo las actividades descritas para los equipos básicos de salud en el territorio asignado, haciendo énfasis en el fortalecimiento de la Atención Primaria en Salud, en el marco de la implementación del modelo de salud preventivo y predictivo que garantice el derecho fun-damental a la salud e incida en los resultados en salud de las personas, familias y comuni-dades del territorio, dentro del desarrollo de la estr","Presentación de oferta","10/16/2024","10/16/2024",,,,,"10/16/2024","$7,500,000","Contratación régimen especial","Regla aplicable","3","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6903844","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.3790955","006-2023","709543227","CO1.BDOS.3695485","CONTRATO DE PRESTACION DE SERVICIOS","Prestar servicio por externalización de Toma y lectura de ecografías","Presentación de oferta","01/03/2023","01/03/2023",,,,,"01/03/2023","$750,000,000","Contratación régimen especial","Regla aplicable","6","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101502","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3701867","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.8672008","657-2025","709543227","CO1.BDOS.8517673","CONTRATO DE SUMINISTROS","Suministro de reactivos e insumos generales de laboratorio clínico para la Empresa Social del Estado Pasto Salud E.S.E.","Presentación de oferta","08/01/2025","08/01/2025",,,,,"08/01/2025","$83,698,171","Contratación régimen especial","Regla aplicable","60","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.42142515","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8539950","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.7158994","1001-2024","709543227","CO1.BDOS.7024784","PRESTACION DE SERVICIOS - MARIA CLAUDIA ZAMBRANO BOLAÑOS","Contratar la prestación de servicios como GESTOR COMUNITARIO con el fin de llevar a cabo las actividades descritas para los equipos básicos de salud en el territorio asignado, haciendo énfasis en el fortalecimiento de la Atención Primaria en Salud, en el marco de la implementación del modelo de salud preventivo y predictivo que garantice el derecho fundamental a la salud e incida en los resultados en salud de las personas, familias y comunidades del territorio, dentro del desarrollo de la....","Presentación de oferta","11/13/2024","11/13/2024",,,,,"11/13/2024","$5,000,000","Contratación régimen especial","Regla aplicable","54","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7037185","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.7493551","056-2025","709543227","CO1.BDOS.7357728","PRESTACION DE SERVICIOS","Contratar la prestación de servicio por externalización para el procesamiento y lectura de las pruebas ADN VPH y citología en base liquida con un laboratorio habilitado para este fin, que garantice la prestación de los servicios de salud complementarios de una manera eficiente a fin de garantizar el diagnóstico oportuno del cáncer de cérvix de acuerdo con la normatividad vigente y las indicaciones de PASTO SALUD E.S.E","Presentación de oferta","01/17/2025","01/17/2025",,,,,"01/17/2025","$376,980,000","Contratación régimen especial","Regla aplicable","6","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85121802","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7372611","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.6416951","385-2024","709543227","CO1.BDOS.6292333","PRESTACION DE SERVICIOS - MARIA CAMILA PAZ ARCOS","Contratar la prestación de servicios profesionales  EN MEDICINA con el fin de llevar a cabo las actividades descritas para los equipos básicos de salud en el microterritorio asignado, el desarrollo de la estrategia de Atención Primaria en Salud, mediante la visita domiciliaria de la población del municipio de Pasto, implementando el lineamiento emitido por el Ministerio de Salud a raíz de la expedición de la resolución 2016 del 29 de noviembre del 2023 y la resolución 1778 del 31 de octubre de 2","Presentación de oferta","06/24/2024","06/24/2024",,,,,"06/24/2024","$22,500,000","Contratación régimen especial","Regla aplicable","3","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6302932","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.8862756","738-2025","709543227","CO1.BDOS.8705020","PRESTACIÓN DE SERVICIOS","El contratista se compromete para con la Empresa Social del estado PASTO SALUD ESE a prestar sus servicios profesionales como químico farmacéutico, quien desarrollara las actividades del programa de atención farmacéutica, seguimiento a la formulación y  uso racional de medicamentos, seguimiento al procedimiento de conciliación medicamentosa, capacitación a usuarios y personal asistencial en temas relacionados con medicamentos y dispositivos médicos.","Presentación de oferta","09/05/2025","09/05/2025",,,,,"09/05/2025","$15,656,000","Contratación régimen especial","Regla aplicable","4","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8728927","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.6311489","312-2024","709543227","CO1.BDOS.6188754","PRESTACION DE SERVICIOS","El contratista se compromete para con la Empresa Social del Estado PASTO SALUD ESE a prestar sus servicios como comunicador social para apoyar las actividades establecidas en el componente transversal, relacionadas con la incorporación por parte del equipo de trabajo, de estrategias de comunicación popular en el marco de los proceso y acciones desarrolladas en los territorios y zonas priorizadas para fortalecer los entornos: hogar/comunitario y educativo/institucional, de acuerdo con los contemp","Presentación de oferta","05/29/2024","05/29/2024",,,,,"05/29/2024","$9,540,000","Contratación régimen especial","Regla aplicable","37","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6196991","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.3666763","493-2022","709543227","CO1.BDOS.3572842","CONTRATO DE SUMINISTROS","Prestar servicios profesionales  de abogado, en los procesos, procedimientos y demás actividades jurídicas que se adelantan en el grupo  de gestión del talento humano  de la empresa social del estado Pasto salud ESE.","Presentación de oferta","11/28/2022","11/28/2022",,,,,"11/28/2022","$4,442,034","Contratación régimen especial","Regla aplicable","38","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3579901","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.6955902","656-2024","709543227","CO1.BDOS.6822811","PRESTACION DE SERVICIOS","Contratar la prestación de servicios profesionales EN MEDICINA con el fin de llevar a cabo las actividades descritas para los equipos básicos de salud en el territorio asignado, haciendo énfasis en el fortalecimiento de la Atención Primaria en Salud, en el marco de la implementación del modelo de salud preventivo y predictivo que garantice el derecho fundamental a la salud e incida en los resultados en salud de las personas, familias y comunidades del territorio, dentro del desarrollo de la estr","Presentación de oferta","10/04/2024","10/04/2024",,,,,"10/04/2024","$22,620,000","Contratación régimen especial","Regla aplicable","90","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6834899","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.10248189","0538-2026","709543227","CO1.BDOS.10078802","PRESTACION DE SERVICIOS  - BRIGIT VERONICA ORDOÑEZ BURBANO","Contratar la prestación de servicios como AUXILIAR DE ENFERMERÍA con el fin de llevar a cabo las actividades descritas para los equipos básicos de salud en el territorio asignado, haciendo énfasis en el fortalecimiento de la Atención Primaria en Salud, en el marco de la implementación del modelo de salud preventivo y predictivo que garantice el derecho fundamental a la salud e incida en los resultados en salud de las personas, familias y comunidades del territorio, dentro del desarrollo de...","Presentación de oferta","03/09/2026","03/09/2026",,,,,"03/09/2026","$9,450,000","Contratación régimen especial","Regla aplicable","3","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10105298","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.8096079","257-2025","709543227","CO1.BDOS.7955838","CONTRATO DE PRESTACION DE SERVICIOS-VANESSA NATALIA ERAZO VILLOTA","El contratista se compromete para con la Empresa Social del Estado PASTO SALUD ESE, a prestar  sus servicios profesionales para apoyar las actividades que se adelantan en la oficina Asesora Jurídica, encaminadas al mejoramiento de los procedimientos de: Cargue de documentación contractual, asesoría jurídica interna, proyección de conceptos y respuestas a derecho de petición, dentro del proceso de Gestión Jurídica","Presentación de oferta","04/08/2025","04/08/2025",,,,,"04/08/2025","$11,072,769","Contratación régimen especial","Regla aplicable","3","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7972805","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.9694910","0134-2026","709543227","CO1.BDOS.9526095","CONTRATO DE PRESTACION DE SERVICIOS","Prestación de servicios de apoyo a la gestión a través de profesionales con conocimientos en  especialidades médicas clínico, que se requieran para el desarrollo del PROCESO DE ATENCIÓN AL CLIENTE ASISTENCIAL, así como asesoría en calidad e implementación de procesos específicos de los servicios habilitados  de las especialidades médicas o de los  que se habilitaran como lo son atención ambulatoria, urgencias, hospitalización cirugía y demás servicios que lo requieran, en las diferentes sedes, q","Presentación de oferta","01/15/2026","01/15/2026",,,,,"01/15/2026","$600,000,000","Contratación régimen especial","Regla aplicable","171","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9540532","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.6434045","407-2024","709543227","CO1.BDOS.6309636","CONTRATO DE SUMINISTROS","Suministro de llantas, neumáticos, protectores, válvulas, accesorios necesarios, montaje y alineación de las mismas para el parque automotor de la Empresa Social del Estado Pasto Salud E.S.E","Presentación de oferta","06/27/2024","06/27/2024",,,,,"06/27/2024","$50,000,000","Contratación régimen especial","Regla aplicable","189","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","UNSPECIFIED","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6319561","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.6604971","517-2024","709543227","CO1.BDOS.6479560","PRESTACION DE SERVICIOS","Contratar la prestación de servicios profesionales EN ENFERMERIA con el fin de llevar a cabo las actividades descritas para los equipos básicos de salud en el microterritorio asignado, el desarrollo de la estrategia de Atención Primaria en Salud, mediante la visita domiciliaria de la población del municipio de Pasto, implementando el lineamiento emitido por el Ministerio de Salud a raíz de la expedición de la resolución 2016 del 29 de noviembre del 2023 y la resolución 1778 del 31 de octubre de","Presentación de oferta","08/02/2024","08/02/2024",,,,,"08/02/2024","$6,000,000","Contratación régimen especial","Regla aplicable","30","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6489555","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.10170179","0431-2026","709543227","CO1.BDOS.10002688","CONTRATO DE PRESTACIÓN DE SERVICIOS","PRESTACIÓN DE SERVICIOS PROFESIONALES COMO PSICOLOGO PARA EL DESARROLLO DE ACUERDO A LO CONTEMPLADO AL PLAN DE INTERVENCIONES COLECTIVAS","Presentación de oferta","02/13/2026","02/13/2026",,,,,"02/13/2026","$23,800,000","Contratación régimen especial","Regla aplicable","7","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10027888","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.4504746","173-2023","709543227","CO1.BDOS.4404008","SUMINISTROS","El contratista se obliga al suministro de los medicamentos  en las cantidades establecidas en el  anexo 1, el cual hace parte integral del contrato. Para la ESE Pasto Salud. Lo  anterior   de  conformidad con lo establecido  en  el  pedido   de cotización No. 5068773  materializado  por el reporte de ítems  emitido el 03/05/2023, ID Proveedor: 43082  a través de la Plataforma Electrónica  de BIONEXO COLOMBIA S.A.S","Presentación de oferta","05/11/2023","05/11/2023",,,,,"05/11/2023","$1,973,120","Contratación régimen especial","Regla aplicable","79","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.10311511","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4406002","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.8094350","252-2025","709543227","CO1.BDOS.7954240","CONTRATO DE PRESTACION DE SERVICIOS","Contratar la prestación de servicios como GESTOR COMUNITARIO con el fin de llevar a cabo las actividades descritas para los equipos básicos de salud, haciendo énfasis en el fortalecimiento de la Atención Primaria en Salud, en el marco de la implementación del modelo de salud preventivo y predictivo que garantice el derecho fundamental a la salud e incida en los resultados en salud de las personas, familias y comunidades del territorio, dentro del desarrollo de la estrategia de Atención Primaria","Presentación de oferta","04/08/2025","04/08/2025",,,,,"04/08/2025","$5,000,000","Contratación régimen especial","Regla aplicable","2","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7971437","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.9693113","0135-2025","709543227","CO1.BDOS.9526410","PRESTACION DE SERVICIOS","Prestación de servicios de apoyo a la gestión a través de profesionales con conocimientos en cirugía general, así como cirugía ginecológica que se requieran para prestar el servicio quirúrgico en el desarrollo del PROCESO DE ATENCIÓN AL CLIENTE ASISTENCIAL, que incluye el uso de torre laparoscópica (insuflador cámara, fuente de luz, monitor, etc), con sus insumos y consumibles, así como el servicio de anestesia y sedación será provisto según requerimiento técnicos del contratante","Presentación de oferta","01/15/2026","01/15/2026",,,,,"01/15/2026","$1,200,000,000","Contratación régimen especial","Regla aplicable","6","Mes(es)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9538713","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.5461210","478-2023","709543227","CO1.BDOS.5342780","CONTRATO SUMINISTROS","El contratista se obliga al suministro de los medicamentos  en las cantidades establecidas en el  anexo 1, el cual hace parte integral del contrato. Para la ESE Pasto Salud.","Presentación de oferta","12/27/2023","12/27/2023",,,,,"12/27/2023","$39,716,464","Contratación régimen especial","Regla aplicable","9","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.51101706","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5356927","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.7316923","1087-2024","709543227","CO1.BDOS.7180097","PRESTACION DE SERVICIOS- NELSON JESUS ROSERO PRADO","El contratista se compromete para con la Empresa Social del Estado PASTO SALUD ESE a prestar sus servicios como Tecnólogo en Promoción de la Salud para la implementación de una (1) estrategia lúdico pedagógica por curso del vida dirigida a la comunidad en general y trabajadores de la economía popular del municipio del Pasto, orientada a la prevención del lesiones por el uso indebido del pólvora; desarrollada por grupos u organizaciones de la sociedad civil según afectación y enfoque del prevenci","Presentación de oferta","12/12/2024","12/12/2024",,,,,"12/12/2024","$3,000,000","Contratación régimen especial","Regla aplicable","18","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7200900","709,543,227","Presentación de oferta"
"EMPRESA SOCIAL DEL ESTADO PASTO SALUD E.S.E.","900091143","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.9351873","1207-2025","709543227","CO1.BDOS.9184891","PRESTACION DE SERVICIOS - RISKS INTERNATIONAL SAS","Prestar el servicio de validación de listas restrictivas, cautelares y sancionatorias a través del sistema de información App Web Compliance.","Presentación de oferta","11/28/2025","11/28/2025",,,,,"11/28/2025","$3,780,000","Contratación régimen especial","Regla aplicable","36","día(s)",,,,"Pasto","Oficina Asesora Jurídica Pasto Salud","0","0","0","0","0","0","0","0","0","Publicado","50","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.81112106","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9210340","709,543,227","Presentación de oferta"
